starttime	seconds	ctime	dtime	ttime	wait
Thu Feb 06 19:58:34 2014	1391745514	497	5289	5786	5289
Thu Feb 06 19:58:41 2014	1391745521	458	5333	5790	5333
Thu Feb 06 19:58:18 2014	1391745498	463	5344	5807	5344
Thu Feb 06 19:58:58 2014	1391745538	488	5319	5807	5319
Thu Feb 06 19:58:49 2014	1391745529	587	5221	5807	5221
Thu Feb 06 19:58:41 2014	1391745521	466	5342	5809	5342
Thu Feb 06 19:58:54 2014	1391745534	412	5418	5830	441
Thu Feb 06 19:58:18 2014	1391745498	461	5376	5836	5376
Thu Feb 06 19:58:18 2014	1391745498	458	5383	5841	5382
Thu Feb 06 19:58:53 2014	1391745533	459	5388	5848	5388
Thu Feb 06 19:58:46 2014	1391745526	442	5418	5860	5418
Thu Feb 06 19:58:46 2014	1391745526	442	5418	5860	5418
Thu Feb 06 19:57:56 2014	1391745476	459	5407	5866	5406
Thu Feb 06 19:58:30 2014	1391745510	438	5430	5868	5430
Thu Feb 06 19:58:30 2014	1391745510	439	5430	5870	5430
Thu Feb 06 19:58:30 2014	1391745510	439	5432	5872	5432
Thu Feb 06 19:58:30 2014	1391745510	440	5433	5874	5433
Thu Feb 06 19:58:35 2014	1391745515	428	5446	5874	5446
Thu Feb 06 19:57:56 2014	1391745476	465	5410	5875	295
Thu Feb 06 19:58:25 2014	1391745505	506	5372	5878	5372
Thu Feb 06 19:58:34 2014	1391745514	587	5294	5880	5293
Thu Feb 06 19:58:30 2014	1391745510	440	5447	5887	5447
Thu Feb 06 19:57:47 2014	1391745467	446	5445	5891	5444
Thu Feb 06 19:58:48 2014	1391745528	456	5444	5900	5444
Thu Feb 06 19:58:44 2014	1391745524	458	5454	5913	5454
Thu Feb 06 19:58:00 2014	1391745480	471	5445	5916	290
Thu Feb 06 19:58:43 2014	1391745523	468	5458	5925	5457
Thu Feb 06 19:58:43 2014	1391745523	469	5457	5926	5457
Thu Feb 06 19:57:42 2014	1391745462	476	5466	5942	5466
Thu Feb 06 19:58:58 2014	1391745538	498	5461	5959	5461
Thu Feb 06 19:58:52 2014	1391745532	479	5509	5989	5509
Thu Feb 06 19:58:52 2014	1391745532	489	5499	5989	5499
Thu Feb 06 19:58:18 2014	1391745498	491	5498	5989	5498
Thu Feb 06 19:58:18 2014	1391745498	466	5525	5990	5525
Thu Feb 06 19:58:09 2014	1391745489	468	5531	5999	5530
Thu Feb 06 19:57:57 2014	1391745477	449	5561	6010	5561
Thu Feb 06 19:58:44 2014	1391745524	453	5560	6013	5560
Thu Feb 06 19:57:57 2014	1391745477	450	5563	6013	5563
Thu Feb 06 19:58:16 2014	1391745496	458	5556	6014	5556
Thu Feb 06 19:58:44 2014	1391745524	451	5564	6015	5564
Thu Feb 06 19:58:53 2014	1391745533	454	5561	6015	5561
Thu Feb 06 19:57:54 2014	1391745474	456	5559	6015	5558
Thu Feb 06 19:57:54 2014	1391745474	474	5542	6017	5542
Thu Feb 06 19:58:46 2014	1391745526	1522	4495	6017	4495
Thu Feb 06 19:58:52 2014	1391745532	497	5522	6020	5522
Thu Feb 06 19:57:54 2014	1391745474	462	5558	6021	5558
Thu Feb 06 19:57:54 2014	1391745474	462	5558	6021	5558
Thu Feb 06 19:57:54 2014	1391745474	463	5558	6021	5558
Thu Feb 06 19:58:00 2014	1391745480	457	5577	6034	5577
Thu Feb 06 19:58:01 2014	1391745481	454	5583	6037	5583
Thu Feb 06 19:58:01 2014	1391745481	456	5582	6038	5582
Thu Feb 06 19:57:52 2014	1391745472	431	5608	6039	5608
Thu Feb 06 19:58:01 2014	1391745481	456	5582	6039	5582
Thu Feb 06 19:57:50 2014	1391745470	458	5595	6053	299
Thu Feb 06 19:58:56 2014	1391745536	482	5576	6058	5576
Thu Feb 06 19:58:06 2014	1391745486	1350	4713	6063	4712
Thu Feb 06 19:58:41 2014	1391745521	586	5486	6072	5486
Thu Feb 06 19:58:43 2014	1391745523	452	5620	6073	5620
Thu Feb 06 19:58:43 2014	1391745523	453	5621	6073	5621
Thu Feb 06 19:58:22 2014	1391745502	1514	4568	6082	4568
Thu Feb 06 19:58:41 2014	1391745521	590	5494	6084	5494
Thu Feb 06 19:58:20 2014	1391745500	415	5693	6108	5692
Thu Feb 06 19:58:12 2014	1391745492	467	5647	6114	5647
Thu Feb 06 19:58:20 2014	1391745500	427	5693	6120	5693
Thu Feb 06 19:58:33 2014	1391745513	440	5685	6124	5684
Thu Feb 06 19:58:12 2014	1391745492	460	5674	6134	5674
Thu Feb 06 19:57:57 2014	1391745477	453	5681	6134	5681
Thu Feb 06 19:57:57 2014	1391745477	449	5691	6139	5690
Thu Feb 06 19:58:25 2014	1391745505	458	5683	6141	5683
Thu Feb 06 19:58:33 2014	1391745513	454	5687	6141	5687
Thu Feb 06 19:58:33 2014	1391745513	454	5689	6143	5688
Thu Feb 06 19:58:26 2014	1391745506	459	5685	6145	5685
Thu Feb 06 19:58:25 2014	1391745505	461	5683	6145	5683
Thu Feb 06 19:58:26 2014	1391745506	460	5687	6147	5687
Thu Feb 06 19:58:26 2014	1391745506	462	5685	6147	5685
Thu Feb 06 19:58:15 2014	1391745495	434	5718	6152	5718
Thu Feb 06 19:58:26 2014	1391745506	469	5687	6156	5687
Thu Feb 06 19:57:57 2014	1391745477	451	5714	6165	5714
Thu Feb 06 19:58:54 2014	1391745534	1625	4554	6179	4554
Thu Feb 06 19:58:06 2014	1391745486	1630	4562	6192	4561
Thu Feb 06 19:58:41 2014	1391745521	449	5746	6196	5746
Thu Feb 06 19:58:41 2014	1391745521	442	5756	6198	5756
Thu Feb 06 19:58:06 2014	1391745486	1634	4565	6198	4564
Thu Feb 06 19:58:06 2014	1391745486	1634	4564	6198	4564
Thu Feb 06 19:59:09 2014	1391745549	471	5731	6203	5731
Thu Feb 06 19:57:49 2014	1391745469	460	5752	6212	5752
Thu Feb 06 19:57:50 2014	1391745470	467	5746	6213	5746
Thu Feb 06 19:57:50 2014	1391745470	470	5746	6216	5746
Thu Feb 06 19:57:49 2014	1391745469	458	5758	6216	5758
Thu Feb 06 19:57:49 2014	1391745469	461	5757	6218	5757
Thu Feb 06 19:58:35 2014	1391745515	427	5794	6221	5794
Thu Feb 06 19:58:43 2014	1391745523	464	5759	6223	5759
Thu Feb 06 19:58:41 2014	1391745521	486	5742	6227	5741
Thu Feb 06 19:58:09 2014	1391745489	467	5763	6230	5763
Thu Feb 06 19:58:49 2014	1391745529	1471	4761	6232	4761
Thu Feb 06 19:58:09 2014	1391745489	467	5765	6232	5765
Thu Feb 06 19:58:09 2014	1391745489	485	5772	6257	5772
Thu Feb 06 19:58:12 2014	1391745492	471	5797	6268	5797
Thu Feb 06 19:58:12 2014	1391745492	470	5798	6268	5798
Thu Feb 06 19:58:22 2014	1391745502	574	5697	6271	5697
Thu Feb 06 19:58:09 2014	1391745489	1402	4871	6273	4871
Thu Feb 06 19:58:09 2014	1391745489	1410	4865	6275	4865
Thu Feb 06 19:58:12 2014	1391745492	460	5825	6284	5824
Thu Feb 06 19:58:25 2014	1391745505	479	5807	6286	5807
Thu Feb 06 19:58:25 2014	1391745505	478	5808	6286	5808
Thu Feb 06 19:58:53 2014	1391745533	447	5845	6292	5845
Thu Feb 06 19:57:39 2014	1391745459	531	5767	6298	5766
Thu Feb 06 19:57:55 2014	1391745475	471	5828	6300	5828
Thu Feb 06 19:58:53 2014	1391745533	443	5864	6307	5864
Thu Feb 06 19:59:09 2014	1391745549	563	5744	6307	5744
Thu Feb 06 19:57:54 2014	1391745474	456	5854	6310	5854
Thu Feb 06 19:58:44 2014	1391745524	443	5872	6315	5871
Thu Feb 06 19:58:17 2014	1391745497	324	5992	6316	5992
Thu Feb 06 19:57:54 2014	1391745474	462	5855	6316	5855
Thu Feb 06 19:58:44 2014	1391745524	442	5875	6317	5875
Thu Feb 06 19:58:55 2014	1391745535	572	5745	6318	5745
Thu Feb 06 19:59:09 2014	1391745549	577	5743	6319	5742
Thu Feb 06 19:58:37 2014	1391745517	411	5915	6326	5915
Thu Feb 06 19:58:00 2014	1391745480	447	5886	6333	5886
Thu Feb 06 19:58:01 2014	1391745481	468	5868	6336	5868
Thu Feb 06 19:58:01 2014	1391745481	468	5868	6337	5868
Thu Feb 06 19:58:55 2014	1391745535	595	5745	6339	5745
Thu Feb 06 19:59:08 2014	1391745548	454	5897	6351	5897
Thu Feb 06 19:59:08 2014	1391745548	458	5893	6351	5893
Thu Feb 06 19:59:08 2014	1391745548	460	5893	6353	5893
Thu Feb 06 19:58:23 2014	1391745503	346	6008	6353	6008
Thu Feb 06 19:58:33 2014	1391745513	478	5879	6356	587
Thu Feb 06 19:59:09 2014	1391745549	472	5888	6360	297
Thu Feb 06 19:58:07 2014	1391745487	474	5886	6360	5886
Thu Feb 06 19:57:51 2014	1391745471	456	5907	6363	5907
Thu Feb 06 19:57:43 2014	1391745463	472	5891	6363	5891
Thu Feb 06 19:57:51 2014	1391745471	456	5908	6364	5908
Thu Feb 06 19:58:06 2014	1391745486	446	5918	6364	5918
Thu Feb 06 19:57:51 2014	1391745471	456	5911	6367	5911
Thu Feb 06 19:57:43 2014	1391745463	471	5896	6367	5895
Thu Feb 06 19:57:40 2014	1391745460	462	5915	6376	300
Thu Feb 06 19:58:41 2014	1391745521	457	5921	6378	306
Thu Feb 06 19:58:33 2014	1391745513	456	5925	6381	5925
Thu Feb 06 19:58:06 2014	1391745486	447	5939	6386	5939
Thu Feb 06 19:58:24 2014	1391745504	1454	4936	6390	4935
Thu Feb 06 19:58:41 2014	1391745521	459	5952	6410	5952
Thu Feb 06 19:58:09 2014	1391745489	469	5943	6412	5943
Thu Feb 06 19:58:26 2014	1391745506	451	5965	6416	5965
Thu Feb 06 19:58:12 2014	1391745492	468	5949	6416	5948
Thu Feb 06 19:58:12 2014	1391745492	460	5959	6419	5959
Thu Feb 06 19:58:53 2014	1391745533	442	5994	6436	5994
Thu Feb 06 19:57:55 2014	1391745475	467	5978	6445	5978
Thu Feb 06 19:58:17 2014	1391745497	477	5979	6456	5979
Thu Feb 06 19:57:59 2014	1391745479	430	6037	6467	6037
Thu Feb 06 19:57:54 2014	1391745474	461	6010	6471	6010
Thu Feb 06 19:58:34 2014	1391745514	471	6021	6492	6021
Thu Feb 06 19:58:00 2014	1391745480	453	6045	6498	297
Thu Feb 06 19:58:55 2014	1391745535	462	6037	6499	602
Thu Feb 06 19:58:55 2014	1391745535	480	6024	6504	6024
Thu Feb 06 19:57:50 2014	1391745470	463	6055	6517	6054
Thu Feb 06 19:58:35 2014	1391745515	427	6095	6522	609
Thu Feb 06 19:59:00 2014	1391745540	465	6059	6524	6059
Thu Feb 06 19:58:49 2014	1391745529	1440	5089	6529	5089
Thu Feb 06 19:58:05 2014	1391745485	439	6093	6532	6093
Thu Feb 06 19:58:27 2014	1391745507	365	6168	6533	6168
Thu Feb 06 19:59:01 2014	1391745541	473	6063	6536	6063
Thu Feb 06 19:58:12 2014	1391745492	457	6100	6556	6100
Thu Feb 06 19:58:11 2014	1391745491	1536	5027	6563	5026
Thu Feb 06 19:58:11 2014	1391745491	1537	5027	6564	5026
Thu Feb 06 19:59:05 2014	1391745545	451	6116	6567	6116
Thu Feb 06 19:58:12 2014	1391745492	485	6084	6569	6084
Thu Feb 06 19:58:39 2014	1391745519	382	6191	6573	6191
Thu Feb 06 19:58:17 2014	1391745497	580	5992	6573	5992
Thu Feb 06 19:58:17 2014	1391745497	581	5993	6573	5993
Thu Feb 06 19:58:39 2014	1391745519	381	6194	6575	6194
Thu Feb 06 19:58:10 2014	1391745490	479	6100	6579	6100
Thu Feb 06 19:58:38 2014	1391745518	1465	5119	6584	5103
Thu Feb 06 19:58:47 2014	1391745527	436	6150	6586	6150
Thu Feb 06 19:58:39 2014	1391745519	396	6196	6591	6196
Thu Feb 06 19:59:01 2014	1391745541	473	6124	6597	305
Thu Feb 06 19:58:17 2014	1391745497	451	6156	6608	6156
Thu Feb 06 19:57:54 2014	1391745474	455	6154	6609	6154
Thu Feb 06 19:57:54 2014	1391745474	595	6015	6610	302
Thu Feb 06 19:57:54 2014	1391745474	456	6155	6610	6155
Thu Feb 06 19:57:54 2014	1391745474	456	6157	6613	6157
Thu Feb 06 19:58:14 2014	1391745494	445	6170	6615	6170
Thu Feb 06 19:57:56 2014	1391745476	471	6144	6615	594
Thu Feb 06 19:58:46 2014	1391745526	473	6147	6621	6147
Thu Feb 06 19:58:46 2014	1391745526	598	6026	6624	6025
Thu Feb 06 19:57:51 2014	1391745471	440	6187	6626	6186
Thu Feb 06 19:57:51 2014	1391745471	437	6195	6633	578
Thu Feb 06 19:58:02 2014	1391745482	476	6157	6633	437
Thu Feb 06 19:57:51 2014	1391745471	447	6194	6641	6194
Thu Feb 06 19:58:33 2014	1391745513	1640	5007	6647	5007
Thu Feb 06 19:58:55 2014	1391745535	460	6190	6650	6189
Thu Feb 06 19:57:53 2014	1391745473	464	6191	6656	6191
Thu Feb 06 19:58:14 2014	1391745494	448	6209	6657	6209
Thu Feb 06 19:57:47 2014	1391745467	1502	5155	6657	5155
Thu Feb 06 19:58:42 2014	1391745522	488	6174	6663	6174
