starttime	seconds	ctime	dtime	ttime	wait
Thu Feb 06 20:35:00 2014	1391736900	17	1721	1738	1721
Thu Feb 06 20:35:00 2014	1391736900	26	1713	1739	1711
Thu Feb 06 20:35:01 2014	1391736901	15	1729	1743	1728
Thu Feb 06 20:35:01 2014	1391736901	21	1726	1747	1725
Thu Feb 06 20:34:38 2014	1391736878	25	1722	1747	1722
Thu Feb 06 20:35:00 2014	1391736900	29	1719	1748	1716
Thu Feb 06 20:35:00 2014	1391736900	33	1715	1748	1715
Thu Feb 06 20:35:00 2014	1391736900	38	1719	1757	1719
Thu Feb 06 20:34:38 2014	1391736878	1014	745	1760	745
Thu Feb 06 20:34:38 2014	1391736878	1023	740	1763	740
Thu Feb 06 20:35:00 2014	1391736900	38	1732	1770	1732
Thu Feb 06 20:35:01 2014	1391736901	21	1758	1779	1758
Thu Feb 06 20:34:38 2014	1391736878	21	1758	1779	1758
Thu Feb 06 20:34:38 2014	1391736878	14	1771	1785	1768
Thu Feb 06 20:35:00 2014	1391736900	36	1762	1798	1762
Thu Feb 06 20:35:01 2014	1391736901	14	1784	1798	1783
Thu Feb 06 20:34:45 2014	1391736885	20	1783	1803	1783
Thu Feb 06 20:35:01 2014	1391736901	16	1790	1807	1790
Thu Feb 06 20:35:02 2014	1391736902	15	1792	1808	1792
Thu Feb 06 20:35:01 2014	1391736901	16	1798	1815	1798
Thu Feb 06 20:35:01 2014	1391736901	16	1814	1831	1814
Thu Feb 06 20:34:48 2014	1391736888	14	1826	1840	1826
Thu Feb 06 20:35:00 2014	1391736900	29	1811	1840	1811
Thu Feb 06 20:34:50 2014	1391736890	15	1831	1845	1830
Thu Feb 06 20:35:00 2014	1391736900	16	1833	1850	1833
Thu Feb 06 20:34:53 2014	1391736893	14	1847	1862	1847
Thu Feb 06 20:35:02 2014	1391736902	18	1853	1871	1853
Thu Feb 06 20:34:37 2014	1391736877	28	1845	1874	1845
Thu Feb 06 20:35:01 2014	1391736901	15	1864	1879	1864
Thu Feb 06 20:35:01 2014	1391736901	16	1863	1879	1863
Thu Feb 06 20:35:00 2014	1391736900	41	1839	1881	1839
Thu Feb 06 20:35:00 2014	1391736900	33	1857	1890	1857
Thu Feb 06 20:35:00 2014	1391736900	1013	880	1894	879
Thu Feb 06 20:35:00 2014	1391736900	41	1873	1915	1873
Thu Feb 06 20:34:48 2014	1391736888	33	1883	1917	1882
Thu Feb 06 20:35:00 2014	1391736900	41	1876	1917	1876
Thu Feb 06 20:35:00 2014	1391736900	41	1876	1917	1876
Thu Feb 06 20:35:00 2014	1391736900	42	1876	1918	1876
Thu Feb 06 20:34:58 2014	1391736898	1016	908	1924	907
Thu Feb 06 20:35:01 2014	1391736901	15	1912	1926	1911
Thu Feb 06 20:34:58 2014	1391736898	1016	913	1928	911
Thu Feb 06 20:34:40 2014	1391736880	16	1913	1929	1913
Thu Feb 06 20:34:48 2014	1391736888	34	1899	1932	1899
Thu Feb 06 20:35:01 2014	1391736901	15	1919	1934	1919
Thu Feb 06 20:35:00 2014	1391736900	40	1897	1937	1897
Thu Feb 06 20:34:37 2014	1391736877	17	1921	1938	1671
Thu Feb 06 20:35:00 2014	1391736900	19	1920	1939	1920
Thu Feb 06 20:35:00 2014	1391736900	39	1901	1940	1901
Thu Feb 06 20:35:00 2014	1391736900	40	1903	1943	1903
Thu Feb 06 20:35:00 2014	1391736900	40	1908	1947	1907
Thu Feb 06 20:35:00 2014	1391736900	39	1909	1949	1909
Thu Feb 06 20:35:00 2014	1391736900	40	1909	1949	1909
Thu Feb 06 20:34:37 2014	1391736877	19	1933	1952	1933
Thu Feb 06 20:35:00 2014	1391736900	37	1920	1957	1919
Thu Feb 06 20:35:00 2014	1391736900	32	1927	1958	1926
Thu Feb 06 20:35:00 2014	1391736900	40	1920	1959	1920
Thu Feb 06 20:35:00 2014	1391736900	40	1919	1959	1919
Thu Feb 06 20:35:00 2014	1391736900	40	1920	1960	1920
Thu Feb 06 20:35:00 2014	1391736900	37	1924	1961	1924
Thu Feb 06 20:34:56 2014	1391736896	20	1941	1961	1940
Thu Feb 06 20:35:00 2014	1391736900	37	1926	1963	1925
Thu Feb 06 20:35:00 2014	1391736900	37	1926	1963	1926
Thu Feb 06 20:35:00 2014	1391736900	37	1928	1965	1927
Thu Feb 06 20:35:00 2014	1391736900	37	1932	1969	1932
Thu Feb 06 20:35:00 2014	1391736900	40	1931	1971	1931
Thu Feb 06 20:35:00 2014	1391736900	1014	958	1972	958
Thu Feb 06 20:35:00 2014	1391736900	36	1937	1974	1936
Thu Feb 06 20:35:00 2014	1391736900	37	1938	1974	1937
Thu Feb 06 20:35:01 2014	1391736901	14	1963	1977	1962
Thu Feb 06 20:35:00 2014	1391736900	36	1941	1978	1941
Thu Feb 06 20:35:00 2014	1391736900	47	1930	1978	1930
Thu Feb 06 20:34:37 2014	1391736877	25	1956	1981	1956
Thu Feb 06 20:35:00 2014	1391736900	44	1938	1982	1937
Thu Feb 06 20:35:00 2014	1391736900	40	1944	1984	1944
Thu Feb 06 20:34:38 2014	1391736878	23	1969	1991	1707
Thu Feb 06 20:35:00 2014	1391736900	40	1951	1991	1951
Thu Feb 06 20:34:41 2014	1391736881	19	1975	1994	1975
Thu Feb 06 20:35:00 2014	1391736900	45	1953	1997	1953
Thu Feb 06 20:34:48 2014	1391736888	18	1981	1999	1981
Thu Feb 06 20:35:00 2014	1391736900	20	1984	2005	1984
Thu Feb 06 20:34:41 2014	1391736881	15	1991	2006	1991
Thu Feb 06 20:35:00 2014	1391736900	41	1965	2007	1965
Thu Feb 06 20:35:00 2014	1391736900	40	1968	2008	1968
